FIPS State Code,FIPS County Code,County Name,State,CBSA Number,"One-Unit
Limit","Two-Unit
Limit","Three-Unit
Limit","Four-Unit
Limit"
18,157,TIPPECANOE COUNTY,IN,29200,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
18,159,TIPTON COUNTY,IN,26900,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
18,161,UNION COUNTY,IN,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
18,163,VANDERBURGH COUNTY,IN,21780,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
18,165,VERMILLION COUNTY,IN,45460,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
18,167,VIGO COUNTY,IN,45460,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
18,169,WABASH COUNTY,IN,47340,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
18,171,WARREN COUNTY,IN,29200,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
18,173,WARRICK COUNTY,IN,21780,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
18,175,WASHINGTON COUNTY,IN,31140,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
18,177,WAYNE COUNTY,IN,39980,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
18,179,WELLS COUNTY,IN,23060,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
18,181,WHITE COUNTY,IN,33900,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
18,183,WHITLEY COUNTY,IN,23060,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,001,ADAIR COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,003,ADAMS COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,005,ALLAMAKEE COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,007,APPANOOSE COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,009,AUDUBON COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,011,BENTON COUNTY,IA,16300,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,013,BLACK HAWK COUNTY,IA,47940,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,015,BOONE COUNTY,IA,11180,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,017,BREMER COUNTY,IA,47940,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,019,BUCHANAN COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,021,BUENA VISTA COUNTY,IA,44740,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,023,BUTLER COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,025,CALHOUN COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,027,CARROLL COUNTY,IA,16140,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,029,CASS COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,031,CEDAR COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,033,CERRO GORDO COUNTY,IA,32380,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,035,CHEROKEE COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,037,CHICKASAW COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,039,CLARKE COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,041,CLAY COUNTY,IA,43980,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,043,CLAYTON COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,045,CLINTON COUNTY,IA,17540,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,047,CRAWFORD COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,049,DALLAS COUNTY,IA,19780,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,051,DAVIS COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,053,DECATUR COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,055,DELAWARE COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,057,DES MOINES COUNTY,IA,15460,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,059,DICKINSON COUNTY,IA,44020,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,061,DUBUQUE COUNTY,IA,20220,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,063,EMMET COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,065,FAYETTE COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,067,FLOYD COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,069,FRANKLIN COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,071,FREMONT COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,073,GREENE COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,075,GRUNDY COUNTY,IA,47940,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,077,GUTHRIE COUNTY,IA,19780,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,079,HAMILTON COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,081,HANCOCK COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,083,HARDIN COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,085,HARRISON COUNTY,IA,36540,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,087,HENRY COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,089,HOWARD COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,091,HUMBOLDT COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,093,IDA COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,095,IOWA COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,097,JACKSON COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,099,JASPER COUNTY,IA,19780,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,101,JEFFERSON COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,103,JOHNSON COUNTY,IA,26980,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,105,JONES COUNTY,IA,16300,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,107,KEOKUK COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,109,KOSSUTH COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,111,LEE COUNTY,IA,22800,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,113,LINN COUNTY,IA,16300,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,115,LOUISA COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,117,LUCAS COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,119,LYON COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,121,MADISON COUNTY,IA,19780,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,123,MAHASKA COUNTY,IA,36820,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,125,MARION COUNTY,IA,37800,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,127,MARSHALL COUNTY,IA,32260,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,129,MILLS COUNTY,IA,36540,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,131,MITCHELL COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,133,MONONA COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,135,MONROE COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,137,MONTGOMERY COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,139,MUSCATINE COUNTY,IA,34700,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,141,O'BRIEN COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,143,OSCEOLA COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,145,PAGE COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,147,PALO ALTO COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,149,PLYMOUTH COUNTY,IA,30180,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,151,POCAHONTAS COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,153,POLK COUNTY,IA,19780,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,155,POTTAWATTAMIE COUNTY,IA,36540,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,157,POWESHIEK COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,159,RINGGOLD COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,161,SAC COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,163,SCOTT COUNTY,IA,19340,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,165,SHELBY COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,167,SIOUX COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,169,STORY COUNTY,IA,11180,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,171,TAMA COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,173,TAYLOR COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,175,UNION COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,177,VAN BUREN COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,179,WAPELLO COUNTY,IA,36900,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,181,WARREN COUNTY,IA,19780,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,183,WASHINGTON COUNTY,IA,26980,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,185,WAYNE COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,187,WEBSTER COUNTY,IA,22700,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,189,WINNEBAGO COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,191,WINNESHIEK COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,193,WOODBURY COUNTY,IA,43580,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,195,WORTH COUNTY,IA,32380,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
19,197,WRIGHT COUNTY,IA,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
20,001,ALLEN COUNTY,KS,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
20,003,ANDERSON COUNTY,KS,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
20,005,ATCHISON COUNTY,KS,11860,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
20,007,BARBER COUNTY,KS,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
20,009,BARTON COUNTY,KS,24460,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
20,011,BOURBON COUNTY,KS,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
20,013,BROWN COUNTY,KS,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
20,015,BUTLER COUNTY,KS,48620,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
20,017,CHASE COUNTY,KS,21380,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
20,019,CHAUTAUQUA COUNTY,KS,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
20,021,CHEROKEE COUNTY,KS,27900,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
20,023,CHEYENNE COUNTY,KS,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
